Process started: 2022-07-01 01:58:36.795324
Opening DB connection
Engine created
DB connection successful!
('disyuntiva', 1, 1)
('dnp-dads', 1, 2)
('medicamento', 1, 1)
('chamber', 1, 2)
('gerenciar', 1, 1)
('prorrogará', 1, 2)
('rippin', 1, 1)
('capitalizing', 1, 1)
('responderán', 1, 1)
('u4%n', 1, 1)
('ferranti', 1, 1)
('escritur', 1, 1)
('rosita', 1, 3)
('mentar', 1, 1)
('infrascope', 1, 4)
('rincon', 1, 1)
('su-414', 1, 1)
('brasilera', 1, 1)
('interdisciplinariedad', 1, 2)
('corpocaldas-idea', 1, 2)
('biomasa4', 1, 1)
('dps)21', 1, 1)
('montacarga', 1, 2)
('4,5índice', 1, 2)
('sector-specific', 1, 1)
('rumores', 1, 2)
('upit', 1, 4)
('pasajeros15', 1, 1)
('trece37', 1, 1)
('robusteciendo', 1, 1)
('scur', 1, 2)
('-c.', 1, 1)
('3344.6.66600(a', 1, 1)
('humano155', 1, 1)
('quintas', 1, 1)
('identity', 1, 1)
('desvinculando', 1, 1)
('desmayos', 1, 1)
('vacuna(s', 1, 2)
('philosophical', 1, 1)
('globar', 1, 5)
('tradujeran', 1, 1)
('2infraestructuracarrera', 1, 1)
('highway', 1, 1)
('deshabilitación', 1, 1)
('acepten', 1, 1)
('público22', 1, 1)
('sobrepasaron', 1, 1)
('policéntrico', 1, 1)
('inventions', 1, 1)
('rondaba', 1, 1)
('digitalizará', 1, 1)
('enfrentándose', 1, 1)
('transformadoras', 1, 1)
('transportadas', 1, 3)
('managua', 1, 3)
('0%2009', 1, 1)
('comunitario2%pax', 1, 1)
('k21', 1, 1)
('1entidad', 1, 1)
('44%análisis', 1, 1)
('martinez‐alier', 1, 1)
('3.1.1.distribución', 1, 1)
('digitalpolítica', 1, 2)
('familiarizarse', 1, 1)
('dotan', 1, 1)
('multivariante', 1, 1)
('pesos54', 1, 1)
('exalten', 1, 1)
('administradopoblación', 1, 1)
('copiados', 1, 1)
('jordanavenida', 1, 1)
('ciberseguridad27', 1, 1)
('2020-i', 1, 2)
('explotarlo', 1, 1)
('ec0191', 1, 1)
('territorio(a', 1, 1)
('sudamericana', 1, 1)
('0,0020,00educación', 1, 1)
('graduarán', 1, 1)
('c3-beneficio', 1, 2)
('61526219f', 1, 1)
('criterio52', 1, 1)
('urciaga', 1, 1)
('regional”7', 1, 1)
('formalisation', 1, 1)
('sosteible', 1, 1)
('clv', 1, 1)
('escuchadas', 1, 1)
('parker', 1, 1)
('orbitales', 1, 4)
('anualizó', 1, 1)
('27transporte', 1, 1)
('velásquez', 1, 2)
('ptis', 1, 2)
('gitano-rrom', 1, 1)
('accessible', 1, 1)
('perro', 1, 1)
('nitrogenada', 1, 1)
('14,611,69,6pobreza', 1, 1)
('cil', 1, 2)
('nominado', 1, 1)
('variability', 1, 1)
('incidental', 1, 1)
('vph', 1, 2)
('regresivas', 1, 1)
('madurando', 1, 1)
('vegetal8', 1, 1)
('resistirse', 1, 1)
('contribuirían', 1, 1)
('altos7', 1, 1)
('-pnaoci', 1, 1)
('intervención22', 1, 1)
('petróleo139', 1, 1)
('investigadas', 1, 1)
('cagúan', 1, 2)
('sociolingüístico', 1, 1)
('equidad43', 1, 1)
('625%23%5', 1, 1)
('patria', 1, 1)
('sanguíneos', 1, 1)
('pasajeros4', 1, 1)
('solicitarla', 1, 1)
('adjuntando', 1, 1)
('contundentes', 1, 1)
('cumplimientocaribe', 1, 1)
('resfriado', 1, 1)
('fdn34', 1, 1)
('enriquece', 1, 1)
('confunde', 1, 1)
('aide', 1, 2)
('percibía', 1, 1)
('abuc', 1, 1)
('servicio51', 1, 1)
('álvarez-espinoza', 1, 1)
('volar', 1, 1)
('profesional21', 1, 1)
('transporte78', 1, 1)
('mirar', 1, 1)
('pad-bm', 1, 1)
('colombia-con-estrategia-integral-gobierno-busca-darle-un-fuerte-impulso-al-', 1, 1)
('gleave-akiris', 1, 3)
('geist', 1, 1)
('direccionando', 1, 1)
('asean', 1, 1)
('rank', 1, 3)
('garantías48', 1, 1)
('pcs', 1, 5)
('arama', 1, 2)
('insertan', 1, 1)
('desplazando', 1, 1)
('monopólicas', 1, 1)
('pascual', 1, 3)
('aryo', 1, 1)
('innovap', 1, 1)
('acuicultures', 1, 1)
('0:17:28taxi', 1, 1)
('prior', 1, 1)
('lograra', 1, 1)
('ii(b', 1, 1)
('asignarse', 1, 1)
('innovamos', 1, 1)
('rumichaca-ipiales', 1, 1)
('propietarios700.000444.468', 1, 1)
('partid', 1, 1)
('gripe', 1, 1)
('prevee', 1, 1)
('krugman', 1, 4)
('complejizada', 1, 1)
('abierta63', 1, 1)
('mipymes9', 1, 1)
('constarán', 1, 1)
('estímulos137', 1, 1)
('99/93', 1, 1)
('doi:10.1017', 1, 1)
('tures', 1, 1)
('cauces20', 1, 1)
('partidistas', 1, 2)
('sstemas', 1, 1)
('parcela', 1, 1)
('municipios100.75013.95945.13527.57716.968primaria', 1, 1)
('videndos', 1, 1)
('chiunda', 1, 2)
('1655/2017', 1, 1)
('subfactores', 1, 1)
('perdidos', 1, 2)
('interventora', 1, 1)
('perfectamente', 1, 1)
('barreto', 1, 1)
('29%4', 1, 1)
('senoicacifiton', 1, 1)
('regresivos', 1, 2)
('cúcuta76', 1, 1)
('loro', 1, 1)
('ff.mm', 1, 3)
('encst', 1, 2)
('ip53', 1, 1)
('93a', 1, 2)
('niñez146', 1, 1)
('2atogob', 1, 1)
('salud54', 1, 1)
('recuperable', 1, 1)
('jóvenes136', 1, 1)
('duraciones', 1, 1)
('moderno29', 1, 1)
('1.marco', 1, 1)
('trillones', 1, 1)
